KAPPL	KSCHL	VKORG	ZZ_MVGR5	KUNNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	CDP	135852	2015/12/31	956	2015/04/01	0003948371
V	ZRP1	SYCF	CDP	135852	2016/12/31	1384	2016/01/01	0004182494
V	ZRP1	SYCF	CDP	136387	2015/12/31	956	2015/04/01	0003948374
V	ZRP1	SYCF	CDP	136387	2016/12/31	1384	2016/01/01	0004182495
V	ZRP1	SYCF	CDP	137740	2015/12/31	956	2015/04/01	0003948356
V	ZRP1	SYCF	CDP	137740	2016/12/31	1384	2016/01/01	0004182496
V	ZRP1	SYCF	CDP	137745	2015/12/31	956	2015/04/01	0003948369
V	ZRP1	SYCF	CDP	137745	2016/12/31	1384	2016/01/01	0004182497
V	ZRP1	SYCF	CDP	138155	2015/12/31	956	2015/04/01	0003948361
V	ZRP1	SYCF	CDP	138155	2016/12/31	1384	2016/01/01	0004182498
V	ZRP1	SYCF	CDP	139210	2015/12/31	956	2015/04/01	0003948353
V	ZRP1	SYCF	CDP	139210	2016/12/31	1384	2016/01/01	0004182499
V	ZRP1	SYCF	CDP	139217	2015/12/31	956	2015/04/01	0003948349
V	ZRP1	SYCF	CDP	139217	2016/12/31	1384	2016/01/01	0004182500
V	ZRP1	SYCF	CDP	139218	2015/12/31	956	2015/04/01	0003948350
V	ZRP1	SYCF	CDP	139218	2016/12/31	1384	2016/01/01	0004182501
V	ZRP1	SYCF	CDP	140802	2015/12/31	956	2015/04/01	0003948377
V	ZRP1	SYCF	CDP	140802	2016/12/31	1384	2016/01/01	0004182502
V	ZRP1	SYCF	CDP	142211	2015/12/31	956	2015/04/01	0003948352
V	ZRP1	SYCF	CDP	142211	2016/12/31	1384	2016/01/01	0004182503
V	ZRP1	SYCF	CDP	142218	2015/12/31	956	2015/04/01	0003948355
V	ZRP1	SYCF	CDP	142218	2016/12/31	1384	2016/01/01	0004182504
V	ZRP1	SYCF	CDP	150571	2015/12/31	956	2015/04/01	0003948375
V	ZRP1	SYCF	CDP	150571	2016/12/31	1384	2016/01/01	0004182505
V	ZRP1	SYCF	CDP	155361	2015/12/31	956	2015/04/01	0003948368
V	ZRP1	SYCF	CDP	155361	2016/12/31	1384	2016/01/01	0004182506
V	ZRP1	SYCF	CDP	157027	2015/12/31	956	2015/04/01	0003948366
V	ZRP1	SYCF	CDP	157027	2016/12/31	1384	2016/01/01	0004182507
V	ZRP1	SYCF	CDP	158255	2015/12/31	956	2015/04/01	0003948379
V	ZRP1	SYCF	CDP	158255	2016/12/31	1384	2016/01/01	0004182508
V	ZRP1	SYCF	CDP	158985	2015/12/31	956	2015/04/01	0003948354
V	ZRP1	SYCF	CDP	158985	2016/12/31	1384	2016/01/01	0004182509
V	ZRP1	SYCF	CDP	161663	2015/12/31	956	2015/04/01	0003948365
V	ZRP1	SYCF	CDP	161663	2016/12/31	1384	2016/01/01	0004182510
V	ZRP1	SYCF	CDS	101813	2015/12/31	956	2015/04/01	0003948382
V	ZRP1	SYCF	CDS	101813	2016/12/31	1384	2016/01/01	0004182511
V	ZRP1	SYCF	CDS	102356	2015/12/31	956	2015/04/01	0003948416
V	ZRP1	SYCF	CDS	102356	2016/12/31	1384	2016/01/01	0004182512
V	ZRP1	SYCF	CDS	103239	2015/12/31	956	2015/04/01	0003948415
V	ZRP1	SYCF	CDS	103239	2016/12/31	1384	2016/01/01	0004182513
V	ZRP1	SYCF	CDS	103726	2015/12/31	956	2015/04/01	0003948383
V	ZRP1	SYCF	CDS	103726	2016/12/31	1384	2016/01/01	0004182514
V	ZRP1	SYCF	CDS	103866	2015/12/31	956	2015/04/01	0003948386
V	ZRP1	SYCF	CDS	103866	2016/12/31	1384	2016/01/01	0004182515
V	ZRP1	SYCF	CDS	108023	2015/12/31	956	2015/04/01	0003948392
V	ZRP1	SYCF	CDS	108023	2016/12/31	1384	2016/01/01	0004182516
V	ZRP1	SYCF	CDS	109454	2015/12/31	956	2015/04/01	0003948399
V	ZRP1	SYCF	CDS	109454	2016/12/31	1384	2016/01/01	0004182517
V	ZRP1	SYCF	CDS	110697	2015/12/31	956	2015/04/01	0003948393
V	ZRP1	SYCF	CDS	110697	2016/12/31	1384	2016/01/01	0004182518
V	ZRP1	SYCF	CDS	110933	2015/12/31	956	2015/04/01	0003948413
V	ZRP1	SYCF	CDS	110933	2016/12/31	1384	2016/01/01	0004182519
V	ZRP1	SYCF	CDS	111796	2015/12/31	956	2015/04/01	0003948394
V	ZRP1	SYCF	CDS	111796	2016/12/31	1384	2016/01/01	0004182468
V	ZRP1	SYCF	CDS	111925	2015/12/31	956	2015/04/01	0003948405
V	ZRP1	SYCF	CDS	111925	2016/12/31	1384	2016/01/01	0004182469
V	ZRP1	SYCF	CDS	114202	2015/12/31	956	2015/04/01	0003948395
V	ZRP1	SYCF	CDS	114202	2016/12/31	1384	2016/01/01	0004182470
V	ZRP1	SYCF	CDS	114410	2015/12/31	956	2015/04/01	0003948397
V	ZRP1	SYCF	CDS	114410	2016/12/31	1384	2016/01/01	0004182471
V	ZRP1	SYCF	CDS	114602	2015/12/31	956	2015/04/01	0003948408
V	ZRP1	SYCF	CDS	114602	2016/12/31	1384	2016/01/01	0004182472
V	ZRP1	SYCF	CDS	119789	2015/12/31	956	2015/04/01	0003948402
V	ZRP1	SYCF	CDS	119789	2016/12/31	1384	2016/01/01	0004182473
V	ZRP1	SYCF	CDS	120451	2015/12/31	956	2015/04/01	0003948407
V	ZRP1	SYCF	CDS	120451	2016/12/31	1384	2016/01/01	0004182474
V	ZRP1	SYCF	CDS	121059	2015/12/31	956	2015/04/01	0003948411
V	ZRP1	SYCF	CDS	121059	2016/12/31	1384	2016/01/01	0004182475
V	ZRP1	SYCF	CDS	135647	2015/12/31	956	2015/04/01	0003948398
V	ZRP1	SYCF	CDS	135647	2016/12/31	1384	2016/01/01	0004182476
V	ZRP1	SYCF	CDS	135852	2015/12/31	956	2015/04/01	0003948406
V	ZRP1	SYCF	CDS	135852	2016/12/31	1384	2016/01/01	0004182477
V	ZRP1	SYCF	CDS	136387	2015/12/31	956	2015/04/01	0003948409
V	ZRP1	SYCF	CDS	136387	2016/12/31	1384	2016/01/01	0004182478
V	ZRP1	SYCF	CDS	137740	2015/12/31	956	2015/04/01	0003948391
V	ZRP1	SYCF	CDS	137740	2016/12/31	1384	2016/01/01	0004182479
V	ZRP1	SYCF	CDS	137745	2015/12/31	956	2015/04/01	0003948404
V	ZRP1	SYCF	CDS	137745	2016/12/31	1384	2016/01/01	0004182480
