KAPPL	KSCHL	VKORG	MATNR	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYUS	LUCKEY	2015/12/31	897	2015/04/01	3928198
V	ZRP1	SYUS	LUCKEY	2015/12/31	1074	2015/04/01	3929880
V	ZRP1	SYUS	LUCKEY	2016/12/31	1334	2016/01/01	4182037
V	ZRP1	SYUS	LUMP	2015/12/31	925	2015/04/01	3928486
V	ZRP1	SYUS	LUMP	2015/12/31	1076	2015/04/01	3929890
V	ZRP1	SYUS	LUMP	2016/12/31	1362	2016/01/01	4182159
V	ZRP1	SYUS	MINK	2015/12/31	884	2015/04/01	3928159
V	ZRP1	SYUS	MINK	2015/12/31	1084	2015/04/01	3929974
V	ZRP1	SYUS	MINK	2016/12/31	1321	2016/01/01	4182014
V	ZRP1	SYUS	MIX	2015/12/31	904	2015/04/01	3928252
V	ZRP1	SYUS	MIX	2015/12/31	924	2015/04/01	3928470
V	ZRP1	SYUS	MIX	2015/12/31	1053	2015/04/01	3929778
V	ZRP1	SYUS	MIX	2015/12/31	1055	2015/04/01	3929810
V	ZRP1	SYUS	MIX	2016/12/31	1341	2016/01/01	4182060
V	ZRP1	SYUS	MIX	2016/12/31	1361	2016/01/01	4182125
V	ZRP1	SYUS	MIX	2016/12/31	1417	2016/01/01	4183165
V	ZRP1	SYUS	MMMUG	2015/12/31	884	2015/04/01	3928157
V	ZRP1	SYUS	MMMUG	2015/12/31	1084	2015/04/01	3929975
V	ZRP1	SYUS	MMMUG	2016/12/31	1321	2016/01/01	4182015
V	ZRP1	SYUS	MRR	2015/12/31	904	2015/04/01	3928255
V	ZRP1	SYUS	MRR	2015/12/31	1055	2015/04/01	3929811
V	ZRP1	SYUS	MRR	2016/12/31	1341	2016/01/01	4182061
V	ZRP1	SYUS	MRR	2016/12/31	1417	2016/01/01	4183166
V	ZRP1	SYUS	OPENS	2015/12/31	876	2015/04/01	3927941
V	ZRP1	SYUS	OPENS	2016/12/31	1313	2016/01/01	4181993
V	ZRP1	SYUS	OUCUT	2015/12/31	924	2015/04/01	3928457
V	ZRP1	SYUS	OUCUT	2015/12/31	1053	2015/04/01	3929779
V	ZRP1	SYUS	OUCUT	2016/12/31	1361	2016/01/01	4182126
V	ZRP1	SYUS	OUTC	2015/12/31	911	2015/04/01	3928280
V	ZRP1	SYUS	OUTC	2015/12/31	1030	2015/04/01	3929705
V	ZRP1	SYUS	OUTC	2016/12/31	1348	2016/01/01	4182075
V	ZRP1	SYUS	PICKLE	2015/12/31	924	2015/04/01	3928466
V	ZRP1	SYUS	PICKLE	2015/12/31	1053	2015/04/01	3929780
V	ZRP1	SYUS	PICKLE	2016/12/31	1361	2016/01/01	4182127
V	ZRP1	SYUS	PICO	2015/12/31	924	2015/04/01	3928467
V	ZRP1	SYUS	PICO	2015/12/31	1053	2015/04/01	3929781
