AKTNR,ANZAUF,BOMAT,BOSTA,Exclude,FKWRT,GKWRT,KAPPL,KBETR,KBRUE,KFRST,KLF_KAL,KLF_STG,KMEIN,KNUMA_AG,KNUMA_BO,KNUMA_PI,KNUMA_SQ,KNUMH,KNUMT,KOMXWRT,KONMS,KONWA,KONWS,KOPOS,KPEIN,KRECH,KSCHL,KSPAE,KSTBM,KSTBW,KUMNE,KUMZA,KUNNR,KWAEH,KZBZG,KZNEP,LIFNR,LOEVM_KO,MANDT,MDFLG,MEINS,MIKBAS,MWSK1,MWSK2,MXKBAS,MXWRT,PKWRT,PRSCH,RSWRT,STFKZ,UASTA,UKBAS,VALDT,VALTG,VBEWA,VERTN,VERTT,VKKAL,ZAEHK_IND,ZTERM
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0004005714, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0004005715, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0004005716, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0004005717, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0004005718, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000824, , ,0004005719, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , , ,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931404, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931405, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931406, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931407, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931408, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931409, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931410, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931411, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931412, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931413, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931414, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931415, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931416, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931417, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931418, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931419, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931420, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931421, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931422, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931423, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931424, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931425, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931426, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931427, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
 ,00,MFM-ROY, ,,0,0,V,-30,-30, ,0000,0000, , ,0000000973, , ,0003931428, ,0,M3,%, ,01,0,A,ZRP1,X,0,0,0,0, ,USD,F, , ,X,100, , ,0, , ,0,0,0, ,0,A, ,0,,00, , , , ,01, 
