KAPPL	KSCHL	VKORG	ZZ_MVGR5	BRSCH	DATBI	KNUMA	DATAB	KNUMH
V	ZRP1	SYCF	KSI	CO	2016/12/31	1412	2016/01/01	0004183142
V	ZRP1	SYCF	KSR	CO	2015/12/31	991	2015/04/01	0003929642
V	ZRP1	SYCF	KSR	CO	2016/12/31	1412	2016/01/01	0004183143
V	ZRP1	SYCF	KSS	CO	2015/12/31	991	2015/04/01	0003929643
V	ZRP1	SYCF	KSS	CO	2016/12/31	1412	2016/01/01	0004183144
V	ZRP1	SYCF	LOR	FO	2015/12/31	956	2015/04/01	0003948567
V	ZRP1	SYCF	LOR	FO	2016/12/31	1384	2016/01/01	0004182269
V	ZRP1	SYCF	LOR	LI	2015/12/31	956	2015/04/01	0003948568
V	ZRP1	SYCF	LOR	LI	2016/12/31	1384	2016/01/01	0004182270
V	ZRP1	SYCF	LSC	FO	2015/12/31	956	2015/04/01	0004005686
V	ZRP1	SYCF	LSC	FO	2016/12/31	1384	2016/01/01	0004182291
